"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789969495.783241","843376623.376623","506852687.730817","567247614.979354","517226106.17727","351337833.404042","371135639.068689","332378719.934774","359865213.08226","383089746.944268","423629630.453398","511522177.782582","661384145.809715","855676348.11756","1008274439.96626","1338474938.04723","1413899569.40957","1674567002.79826","1663675191.04852","1268730265.77942","1828759690.54548","2284326940.19769","2926877147.39263","3153322766.33811","3315721291.63587","3137020863.27486","3558717725.79882","4405338883.1041","4907543376.02549","5755867284.48234","3802199215.3725","4950452984.49689","10063294925.058","14755463717.8965","19109663381.9673","14065779954.0064",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","483000000","458000000","429000000","428000000","429000000","362000000","436000000","399000000","427000000","332000000","409000000","","","",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027285185.18519","1016366666.66667","1043081481.48148","988692592.592592","1037966666.66667","1194092592.59259","591277777.777778","752377777.777778","1021455555.55556","","","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413600386.17606","2437120389.93926","2773120443.69927","2796640447.46247","3549280567.88489","3428320548.53129","3525760564.12169","3915520626.4833","4016320642.6113","4378080700.49291","5354720856.75534","5715360914.45775","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14184298826.9876","15449644413.8564","16122883554.3204","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060337550.3733","26235903974.9613","27497313397.1163","27321628427.5322","29290629962.9434","37674402360.871","45333960856.8628","47071479854.3762","52248569798.3159","54226800318.0809","54747048903.8786","58015219647.1809","65793733293.7333","75814054769.3059","83327463879.3804","78166587533.0665","71285875422.9853","80695888525.1996","84096722017.0419","82033782309.5723","89138031450.2038","105490823730.26","126785667301.888","148587374344.676","172570464002.512","212794797279.029","213717313259.647","227427026265.26","299823615768.297","332613569102.522","315055128030.195","309621975144.753","271152836560.501","232663011512.861","281774035049.614","312605804111.245","336477593836.115","319174580744.374","343364164705.654","431732710875.763","463117015978.139","432605705549.386","418055624770.646",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936226.51495","4828104967.50743","5940800642.89541","7945377046.8761","10245142815.0766","11254487635.3006","12352077932.0396","14409079177.4207","18066572538.6146","22832409675.7591","26006988938.5237","23441764299.2915","22623842058.5626","21981186609.4684","22265891616.8076","24230778132.482","31689308697.6115","38996594471.0492","44096573052.4908","46607266770.6708","59423123562.8706","60116253388.3324","64678673929.3764","59900880160.8896","65453948921.8167","80827704381.0564","81256726020.2755","78792189649.3404","83704906625.1667","85506769076.8318","85517700615.7602","88123583855.2769","97162434781.7614","116896445115.898","141284759924.34","153683275028.619","170970399267.409","204559326902.395","230062733001.008","181624739693.597","201088697058.6","232888435640.827","220969205398.673","229883469300.996","236189419666.341","202662480693.772","207329157226.967","225412896932.944","252098473760.43","247609283522.368","224423223720.542","268839884920.186","290687124329.312","302183838742.939","297762301950.52","316981385994.885",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3896969696.9697","2440000000","383311808.118081","902385596.3991","294957728.987884","785309767.998287","791860069.072703","1150456356.05181","1009304729.90437","1281380721.40315","2118053576.59715","2368581267.17326","2667039717.57852","3056572037.1513","4235083891.66131","8336815027.37934","13953852783.3275","22516209778.5402","32132494340.4494","22870725058.8778","28732245203.09","37215171599.8511","36912727758.7205","35905452997.3577","32558931187.3444","20060045053.3105","17580756547.8197","19839874967.6816","25484215746.0778","23629764705.8824","15208764705.8824","25487647058.8235","47274117647.0588","35487352941.1765","34112882352.9412","32670058823.5294",
"Burundi","BDI","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","12006111335.2158","13052184853.2193","16423224269.0862","22932275926.3093","29637776512.0133","30156821322.8036","34528907001.0449","39354961170.5121","46332075060.8428","58067512383.049","63563403228.0315","56620736636.2451","53510783153.8054","52655467455.6213","53687392488.1318","53878264148.3796","68750421708.5064","83463311723.3928","96418786615.469","104389986691.237","126512468614.196","126790048434.731","138072578419.072","126086323460.821","143073453098.626","173144772851.669","170850032573.29","163720906630.582","165908868637.475","166731346437.529","171786761887.373","169538549671.103","183016456470.236","219593071857.725","261796408380.927","286519836951.906","313563958756.941","368740547135.766","418418164815.625","332700938045.898","365156061525.001","423187943008.756","398975576107.852","413572371493.06","427143291974.744","359051241755.781","377606160656.616","417980340772.354","453011551860.862","445308040880.784","419501446549.729","536427964592.627","558111250100.975","538931856271.578","532215676718.359","547364961669.411",
"Benin","BEN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","13852022.2718479","10801828.2565992","8317363.65794275","9703491.99266297","13861515.0554071","21069296.1775784","20739912.1478455","23474430.0040027","30461095.5550875","38939715.9124599","50633276.2786263","59595413.8093809","59023784.7218234","78995257.9259981","79408583.8002942","98337358.6004389","90731937.5535587","121349823.276191","153492202.684211","207784726.879978","222261839.296282","205681907.570707","225297401.750903","150766893.851437","205805472.710193","247338455.095396","222807317.486565","238541726.247604","223654543.994436","202741076.024483","375946888.879365","417201321.36147","393976833.800645","510965440.104994","452687270.137931","593804003.901637","625667798.508943","616436708.452127","665156777.433206","846151104.586659","725304886.00806","728426333.669514","827401656.41962","997331579.809427","1146038651.35219","1213941696.92857","1270214595.80969","1800691335.95807","2167074921.86083","1940710262.92026","2199999385.40112","2229520238.43142","2662421032.36803","3451240666.46384","4175438841.58641","2815204783.04203","3263416597.90044","3455561017.58914","3889962074.25631","4264332526.72108","3117343141.94693","3700039683.35829","3627155581.76734","3935350521.8556","4047363784.45537","4189174580.02885",
"Burkina Faso","BFA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","16066015.5277735","19014523.2019842","20997590.0505315","21985467.8188396","11484230.663974","19676611.9401145","21918943.175302","22215435.2110641","28569263.1922709","27823654.5207813","25007054.098666","26587935.4338148","37028534.9708903","42590341.8561142","62500033.8589196","69071585.0515765","80128162.0284074","90048519.1516871","110202772.487273","144182061.699373","172630479.08256","164734426.603165","143789749.49086","126168356.027405","160016200.325","154030064.347859","183075138.96731","269185210.483642","287730449.044585","228834176.818704","340110086.141584","327535406.089611","296949143.50596","286407891.48908","269161995.884847","336477084.673808","273232993.341465","264654980.388452","359254784.850846","283164589.796073","262543948.165201","288539801.148718","321134577.559381","437119286.678813","593230247.614684","604914704.78582","717391852.668023","789151147.099085","959257099.036903","1303153838.06675","2074074305.85765","3164493995.57507","3340989540.70765","3640311286.81321","3755133669.00295","3089098213.34422","3325889850.03121","3731626300.73619","4461756780.16476","4690831780.11539","5632452790.61293","6460208896.64941","5813561183.39553","5820589716.51653","6608822103.86993","9666763788.45255",
